objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
anni_0001,ANNI_0001_1200.jpg,,,Ceremony to mark deadly nightclub fire postponed due to snow,,2018-17-02,Newspaper clipping published in the Kent County Daily Times announcing the postponement of a 15th anniversary memorial ceremony of the Station Nightclub Fire.,Station Fire Memorial Foundation; 15 year anniversary; memorial ceremonies,"West Warwick, Rhode Island",41.68456946,-71.51067527,Kent County Daily Times,,Image;StillImage,image/jpeg,eng,,
anni_0002,ANNI_0002_1200.jpg,,,Station Fire survivors mark 15 years since tragedy,"Lolio, Kendra",2018-20-02,Newspaper clipping published in the Kent County Daily Times reflecting on the 15 year anniversary of the Station Nightclub fire.,Station Fire Memorial Foundation; 15 year anniversary; Tax Cuts and Job Act; memorial ceremonies; Station Memorial Park; Gina Russo; Rob Feeney; Frank Brown; Rhode Island Association of Fire Chiefs; Bill Webb; Congressional Fire Services Institute; John Sinclair; International Association of Fire Chiefs; Shane Ray; National Fire Sprinkler Association; Amy Acton; Phoenix Society for Burn Victims; Vickie Pritchett; Common Voices; Joe Kinan; Fire Sprinkler Tax Incentives; James Langevin,"West Warwick, Rhode Island",41.68456946,-71.51067527,Kent County Daily Times,,Image;StillImage,image/jpeg,eng,,
anni_0003,ANNI_0003_1200.jpg,,,"Station survivors, fire officials mark anniversary [pg. 1]","Lolio, Kendra",2018-21-02,Page one of a newspaper clipping published in the Kent County Daily Times covering the 15 year anniversary ceremony for the Station Nightclub fire.,Station Fire Memorial Foundation; 15 year anniversary; Station Fire Memorial Park; memorial ceremonies; Fire Sprinkler Incentive Act; Tax Cuts and Jobs Act; Vickie Pritchett; Common Voices; Hadley Kinan; Joe Kinan; Gina Russo; Phoenix Society for Burn Survivors; Fred Crisostomi,"West Warwick, Rhode Island",41.68456946,-71.51067527,Kent County Daily Times,,Image;StillImage,image/jpeg,eng,,
anni_0004,ANNI_0004_1200.jpg,,,"Station survivors, fire officials mark anniversary [pg. 2]","Lolio, Kendra",2018-21-02,Page two of a newspaper clipping published in the Kent County Daily Times covering the 15 year anniversary ceremony for the Station Nightclub fire.,Station Fire Memorial Foundation; 15 year anniversary; Station Fire Memorial Park; Fire Sprinkler Incentive Act; memorial ceremonies; Tax Cuts and Jobs Act; Vickie Pritchett; Common Voices; Hadley Kinan; Joe Kinan; Gina Russo; Phoenix Society for Burn Survivors; Fred Crisostomi; Rob Feeney; Donna Mitchell; Kathy Sullivan Pelchat; Mary Baker; Pam Grudadauria; James Langevin; Keith Bryant; Frank Brown; Rhode Island Association of Fire Chiefs; Amy Acton; Bill Webb; Congressional Fire Services Institute; John Sinclair; International Association of Fire Chiefs; National Fire Protection Association; Jim Pauley; National Fallen Firefighters Foundation; Ron Siarnicki; Shane Ray; National Fire Sprinkler Association,"West Warwick, Rhode Island",41.68456946,-71.51067527,Kent County Daily Times,,Image;StillImage,image/jpeg,eng,,
anni_0005,ANNI_0005_1200.jpg,,,Five years of healing,"Jacobson, Carrie",2008-18-02,Newspaper clipping published in the Kent County Daily Times reflecting on the five year anniversary of the Station Nightclub fire.,Station Fire Memorial Foundation; 5 year anniversary; Rachel Henault; Cheryl Lee Davis; Jessica Garvey; Steven Greenleaf; Tom Viall; Sarah Jane Telgarsky; Connecticut; David Fravala; Gina Gauvin; Michelle Farrell; Walter Castle; Lorraine Hamel; Heidi Longley; Gina Mattera; Jessica Moreau; Lindsey Blasbaig; Keri-Ann Kreyssig; Janet Flans; Sarah Ballard,"West Warwick, Rhode Island",41.68456946,-71.51067527,Kent County Daily Times,,Image;StillImage,image/jpeg,eng,,
edi_0001,EDI_0001_1200.jpg,,,State should require sprinklers,,2003-28-02,Newspaper clipping published in the Coventry Courier featuring an editorial arguing for state-mandated sprinkler installations.,sprinklers; Donald Carcieri; pyrotechnics; General Assembly,"Coventry, Rhode Island",,,The Coventry Courier,,Image;StillImage,image/jpeg,eng,,
edi_0002,EDI_0002_1200.jpg,,,"Unspeakable tragedy, extraordinary response",,,Newspaper clipping featuring an editorial praising then governor Donald Carcieri on his response.,Donald Carcieri; George Bush,,,,,,Image;StillImage,image/jpeg,eng,,
edi_0003,EDI_0003_1200.jpg,,,West Warwick council offers help,,,Newspaper clipping featuring a letter to the editor from the West Warwick Town Council.,West Warwick Town Council; West Warwick Town Hall; West Warwick Senior Center; Human Services Department; Massachusetts; Connecticut,"West Warwick, Rhode Island",41.70681663,-71.52226502,,,Image;StillImage,image/jpeg,eng,,
edi_0004,EDI_0004_1200.jpg,,,The Station victim fund seeks local support,"McGowan, Donna K.",,Newspaper clipping featuring a letter to the editor announcing an upcoming fundraiser to support victims and families of the Station Nightclub fire.,St. John's School; Centreville Bank; The Station Victims and Family Fund; St. John's Parent Teacher Council; Monsignor Plante; St. James Parish; St. John's Parish; Rhode Island Hospital,"West Warwick, Rhode Island",41.68743484,-71.52257996,,,Image;StillImage,image/jpeg,eng,,
edi_0005,EDI_0005_1200.jpg,,,Nightclub victims are in our hearts,"Larrivee, Janice",2003-24-05,Newspaper clipping published in the Providence Journal featuring a brief editorial expressing thoughts and prayers to victims of the Station Nightclub fire.,Joe Gruttadauria; Anna Gruttadauria; Mark Patinkin; Patrick Lynch,"Cranston, Rhode Island",,,Providence Journal,,Image;StillImage,image/jpeg,eng,,
